frequency_hz	dgtd_rcs	model_rcs	abs_error	rel_error	valid
3.441400000e+08	2.445940000e+00	3.049691839e+00	6.037518391e-01	2.468383685e-01	1
3.454700000e+08	2.382660000e+00	2.975658230e+00	5.929982295e-01	2.488807591e-01	1
3.468000000e+08	2.348880000e+00	2.893204601e+00	5.443246012e-01	2.317379352e-01	1
3.481300000e+08	2.345480000e+00	2.804171987e+00	4.586919865e-01	1.955642284e-01	1
3.494600000e+08	2.367510000e+00	2.710528904e+00	3.430189043e-01	1.448859368e-01	1
3.507900000e+08	2.404300000e+00	2.614327307e+00	2.100273070e-01	8.735486711e-02	1
3.521200000e+08	2.440690000e+00	2.517656890e+00	7.696688990e-02	3.153488968e-02	1
3.534500000e+08	2.459490000e+00	2.422598809e+00	3.689119143e-02	1.499952894e-02	1
3.547800000e+08	2.444650000e+00	2.331179873e+00	1.134701274e-01	4.641569445e-02	1
3.561100000e+08	2.384610000e+00	2.245328281e+00	1.392817185e-01	5.840859451e-02	1
3.574400000e+08	2.275150000e+00	2.166831931e+00	1.083180688e-01	4.760919885e-02	1
3.587700000e+08	2.121050000e+00	2.097300252e+00	2.374974831e-02	1.119716570e-02	1
3.601000000e+08	1.936030000e+00	2.038130438e+00	1.021004383e-01	5.273701252e-02	1
3.614300000e+08	1.740930000e+00	1.990478821e+00	2.495488207e-01	1.433422485e-01	1
3.627600000e+08	1.560370000e+00	1.955237966e+00	3.948679662e-01	2.530604704e-01	1
3.640900000e+08	1.418500000e+00	1.933019964e+00	5.145199642e-01	3.627211591e-01	1
3.654200000e+08	1.334680000e+00	1.924146169e+00	5.894661694e-01	4.416535569e-01	1
3.667500000e+08	1.319970000e+00	1.928643520e+00	6.086735205e-01	4.611267835e-01	1
3.680800000e+08	1.375210000e+00	1.946247391e+00	5.710373906e-01	4.152365025e-01	1
3.694100000e+08	1.491020000e+00	1.976410774e+00	4.853907737e-01	3.255427651e-01	1
3.707400000e+08	1.649710000e+00	2.018319477e+00	3.686094766e-01	2.234389539e-01	1
3.720700000e+08	1.828740000e+00	2.070912865e+00	2.421728654e-01	1.324260777e-01	1
3.734000000e+08	2.004810000e+00	2.132909611e+00	1.280996109e-01	6.389613524e-02	1
3.747300000e+08	2.157900000e+00	2.202837796e+00	4.493779622e-02	2.082478160e-02	1
3.760600000e+08	2.274350000e+00	2.279068679e+00	4.718679247e-03	2.074737506e-03	1
3.773900000e+08	2.348360000e+00	2.359853354e+00	1.149335423e-02	4.894204565e-03	1
3.787200000e+08	2.381880000e+00	2.443361521e+00	6.148152055e-02	2.581218220e-02	1
3.800500000e+08	2.382970000e+00	2.527721544e+00	1.447515442e-01	6.074417394e-02	1
3.813800000e+08	2.363150000e+00	2.611060988e+00	2.479109880e-01	1.049070046e-01	1
3.827100000e+08	2.334460000e+00	2.691546788e+00	3.570867884e-01	1.529633356e-01	1
3.840400000e+08	2.306850000e+00	2.767424269e+00	4.605742687e-01	1.996550572e-01	1
3.853700000e+08	2.286490000e+00	2.837054202e+00	5.505642024e-01	2.407901204e-01	1
3.867000000e+08	2.275260000e+00	2.898947177e+00	6.236871774e-01	2.741168822e-01	1
3.880300000e+08	2.271310000e+00	2.951794557e+00	6.804845572e-01	2.996000357e-01	1
3.893600000e+08	2.270530000e+00	2.994495398e+00	7.239653982e-01	3.188530423e-01	1
